ID,movieName,distributionCompany,releaseSeason,seasonNum,releaseMonth,releaseYear,releaseDate,totalRevenue,ticketsSold,director,genre,Genre_Enum,moreThanMil
1,Dağ 2,Mars Dağıtım,Fall,4,11,2016,11/4/2016,40627092,3590683,Alper Çağlar,Drama,6,Y
2,Kardeşim Benim,Mars Dağıtım,Winter,1,1,2016,1/15/2016,23132614,2070692,Mert Baykal,Comedy,4,Y
3,Dedemin Fişi,UIP.,Winter,1,1,2016,1/22/2016,22912770,2015665,Meltem Bozoflu,Comedy,4,Y
4,Osman Pazarlama,Warner Bros.,Winter,1,2,2016,2/19/2016,22736060,1983777,Togan Gökbakar,Comedy,4,Y
5,Görümce,Mars Dağıtım,Winter,1,12,2016,12/2/2016,22203418,1911204,Kıvanç Baruonu,Comedy,4,Y
6,Batman v Superman: Adaletin Şafağı,Warner Bros.,Spring,2,3,2016,3/25/2016,19429872,1461576,Zack Snyder,Action,1,Y
7,Kolpaçino 3.Devre,UIP.,Spring,2,3,2016,3/11/2016,16490847,1412639,Şafak Sezer,Comedy,4,Y
8,İkimizin Yerine,UIP.,Fall,4,10,2016,10/21/2016,15542286,1373260,Umur Turagay,Romance,11,Y
9,Kocan Kadar Konuş: Diriliş,UIP.,Winter,1,1,2016,1/1/2016,15901106,1332907,Kıvanç Baruonu,Romance,11,Y
10,Çakallarla Dans 4,UIP.,Fall,4,11,2016,11/25/2016,15202299,1351247,Murat Seker,Comedy,4,Y
11,Buz Devri 5: Büyük Çarpışma,TME.,Summer,3,7,2016,7/15/2016,14649410,1305189,Mike Thurmeier,Animation,3,Y
12,Ekşi Elmalar,Mars Dağıtım,Fall,4,10,2016,10/28/2016,13915323,1219395,Yılmaz Erdoğan,Drama,6,Y
13,Kaptan Amerika: Kahramanların Savaşı,UIP.,Spring,2,5,2016,5/6/2016,14760714,1165583,Anthony Russo,Action,1,Y
14,Suikast,Mars Dağıtım,Summer,3,8,2016,8/26/2016,12372556,1123237,Dennis Gansel,Action,1,Y
15,Deadpool,TME.,Winter,1,2,2016,2/12/2016,14194089,1121149,Tim Miller,Action,1,Y
16,İftarlık Gazoz,Mars Dağıtım,Winter,1,1,2016,1/29/2016,12319801,1031094,Yüksel Aksu,Drama,6,Y
17,Delibal,Warner Bros.,Winter,1,12,2015,12/25/2015,16805210,1465092,Ali Bilgin,Romance,11,Y
18,Suicide Squad: Gerçek Kötüler,Warner Bros.,Summer,3,8,2016,8/12/2016,11998434,956223,David Ayer,Action,1,N
19,Küçük Esnaf,Mars Dağıtım,Spring,2,4,2016,4/8/2016,9017874,832050,Bedran Güzel,Comedy,4,N
20,Doktor Strange,UIP.,Fall,4,11,2016,11/4/2016,11232742,827731,Scott Derrickson,Action,1,N
21,İkinci Şans,Mars Dağıtım,Fall,4,11,2016,11/18/2016,9062423,818986,Özcan Deniz,Romance,11,N
22,Bir Baba Hindu,Mars Dağıtım,Fall,4,9,2016,9/30/2016,8350355,769260,Sermiyan Midyat,Comedy,4,N
23,Sihirbazlar Çetesi 2,TME.,Summer,3,6,2016,6/10/2016,8744056,747288,Jon M. Chu,Action,1,N
24,İyi Bir Dinozor,UIP.,Winter,1,1,2016,1/15/2016,8898180,718008,Peter Sohn,Animation,3,N
25,Diriliş,TME.,Winter,1,1,2016,1/22/2016,8851055,632689,Alejandro Gonzalez Inarritu,History,8,N
26,Bizans Oyunları - Geym of Bizans,Mars Dağıtım,Winter,1,1,2016,1/15/2016,6900208,620380,Gani Müjde,Comedy,4,N
27,Kayıp Balık Dori,UIP.,Fall,4,9,2016,9/2/2016,7408151,617320,Andrew Stanton,Animation,3,N
28,Cehennem,Warner Bros.,Fall,4,10,2016,10/14/2016,7622998,600992,Ron Howard,Action,1,N
29,Warcraft,UIP.,Summer,3,6,2016,6/3/2016,7746558,599787,Duncan Jones,Fantasy,7,N
30,"Fantastik Canavarlar Nelerdir, Nerede Bulunurlar?",Warner Bros.,Fall,4,11,2016,11/18/2016,7668698,552082,David Yates,Fantasy,7,N
31,X-Men: Apocalypse,TME.,Spring,2,5,2016,5/19/2016,7172881,546829,Bryan Singer,Action,1,N
32,Hz. Muhammed: Allah'ın Elçisi,ChF.,Fall,4,10,2016,10/28/2016,5050444,452066,Majid Majidi,History,8,N
33,Angry Birds Film,Warner Bros.,Spring,2,5,2016,5/13/2016,5151909,448978,"Clay Kaytis, Fergal Reilly",Comedy,4,N
34,Düğün Dernek 2: Sünnet,Mars Dağıtım,Winter,1,12,2015,12/4/2015,69422924,6073364,Selçuk Aydemir,Comedy,4,Y
35,Mucize,Pin..,Winter,1,1,2015,1/1/2015,39418944,3737605,Mahsun Kırmızıgül,Drama,6,Y
36,Hızlı ve Öfkeli 7,UIP.,Spring,2,4,2015,4/3/2015,32132000,2961089,James Wan,Action,1,Y
